No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
